"match_id","time","home_fault","card","away_fault","info"
45384,"58","Samudio B. ","yellow card","",NA
45384,"62","","yellow card"," Cansev G.",NA
45384,"67","Petrucci D. ","yellow card","",NA
45384,"73","","yellow card"," Ozgenc E.",NA
45384,"90+1","","yellow card"," Kayali A.",NA
41188,"48","","yellow card"," Aspas I.",NA
41188,"55","","yellow card"," Mallo H.",NA
41188,"64","Fuego J. ","yellow card","",NA
41188,"76","","yellow card"," Gomez M.",NA
41188,"77","","yellow card"," Cabral G.",NA
45291,"32","","yellow card"," Bourabia M.",NA
45291,"37","","yellow card"," Oztorun F.",NA
45291,"41","Medel G. ","yellow card","",NA
45291,"70","Negredo A. ","yellow card","",NA
45381,"31","Akgun A. ","yellow card","",NA
45381,"56","Mezenga B. ","yellow card","",NA
45381,"63","","yellow card"," Appindangoye A.",NA
45381,"73","","yellow card"," Ceylan O.",NA
45381,"88","Zengin E. ","red card","",NA
45381,"88","","red card"," Sedef M.",NA
45381,"89","Aziz B. ","yellow card","",NA
45381,"89","","yellow card"," Ozbayraktar S.",NA
17674,"50","Moravek J. ","yellow card","",NA
17674,"78","Baier D. ","yellow card","",NA
17675,"64","Embolo B. ","yellow card","",NA
17676,"61","Camacho I. ","yellow card","",NA
24592,"19","Poli A. ","yellow card","",NA
24592,"44","Donsah G. ","yellow card","",NA
24592,"76","Mirante A. ","yellow card","",NA
24592,"77","Petkovic B. ","yellow card","",NA
41186,"10","","yellow card"," Capa A.",NA
41186,"80","","yellow card"," Galvez A.",NA
17669,"25","Latza D. ","yellow card","",NA
17669,"84","De Blasis P. ","yellow card","",NA
17669,"85","Samperio J. ","yellow card","",NA
17671,"44","","yellow card"," Volland K.",NA
17671,"55","","yellow card"," Retsos P.",NA
17671,"89","Jarstein R. ","yellow card","",NA
17673,"30","Lehmann M. ","yellow card","",NA
17673,"37","Rausch K. ","yellow card","",NA
24583,"89","Romagnoli A. ","yellow card","",NA
24585,"17","Barella N. ","yellow card","",NA
24585,"29","Ceppitelli L. ","yellow card","",NA
24585,"90+3","Giannetti N. ","yellow card","",NA
24587,"23","Barzagli A. ","yellow card","",NA
24588,"21","Radu S. ","yellow card","",NA
24588,"79","Lucas Leiva ","yellow card","",NA
24589,"32","Hallfredsson E. ","yellow card","",NA
24590,"32","Zuculini B. ","yellow card","",NA
24590,"75","Valoti M. ","yellow card","",NA
24590,"90+5","Kean M. ","yellow card","",NA
30620,"81","","red card"," Gorter D.",NA
41181,"36","","yellow card"," Tello C.",NA
41181,"38","","yellow card"," Mandi A.",NA
41181,"58","","yellow card"," Feddal Z.",NA
41184,"25","","yellow card"," Thomas",NA
41184,"39","","yellow card"," Filipe Luis",NA
41184,"41","Aduriz A.","yellow card","",NA
41178,"6","Chema ","yellow card","",NA
41178,"14","Bardhi E. ","yellow card","",NA
41179,"57","Jozabed ","yellow card","",NA
41179,"69","Gomez M. ","yellow card","",NA
41179,"90+2","","yellow card"," Jimenez A.",NA
41180,"31","Bacca C. ","yellow card","",NA
41180,"41","Bakambu C. ","yellow card","",NA
41180,"71","Trigueros M. ","yellow card","",NA
41180,"74","Alvaro ","yellow card","",NA
41180,"85","Fornals P. ","yellow card","",NA
16517,"61","","yellow card"," Ghezzal R.",NA
16517,"70","","yellow card"," Jemerson",NA
16517,"88","Ponce E. ","yellow card","",NA
16518,"40","","yellow card"," Jean-Tahrat M.",NA
16518,"47","Le Marchand M. ","yellow card","",NA
16518,"62","Balotelli M. ","yellow card","",NA
16518,"72","Cardinale Y. ","yellow card","",NA
16518,"75","","yellow card"," Pavlovic M.",NA
16518,"90+1","Dante ","yellow card","",NA
17668,"13","Vidal A. ","yellow card","",NA
45290,"45","Yilmaz B. ","yellow card","",NA
45290,"45","","yellow card"," Yalciner T.",NA
45290,"59","Yokuslu O. ","yellow card","",NA
45290,"79","Kucka J. ","yellow card","",NA
45290,"82","","yellow card"," Tzavellas G.",NA
45290,"86","Mas E. ","yellow card","",NA
45290,"90","","yellow card"," Love V.",NA
45290,"90+1","","yellow card"," Riou R.",NA
13315,"17","Albrighton M. ","yellow card","",NA
13315,"22","Ndidi W. ","yellow card","",NA
13315,"73","Vardy J.","yellow card","",NA
13315,"90+2","Vardy J. ","yellow card","",NA
13317,"15","Schneiderlin M. ","yellow card","",NA
13317,"56","Davies T. ","yellow card","",NA
13317,"80","Niasse O. ","yellow card","",NA
13317,"90+6","","yellow card"," Stanislas J.",NA
13318,"25","Mendy B. ","yellow card","",NA
13318,"56","Danilo ","yellow card","",NA
13318,"75","Sane L. ","yellow card","",NA
13319,"37","Long S. ","yellow card","",NA
13319,"43","","yellow card"," Young A.",NA
13319,"69","","yellow card"," Valencia A.",NA
13319,"82","","yellow card"," Lukaku R.",NA
13319,"88","","yellow card"," Herrera A.",NA
13322,"81","Chicharito ","yellow card","",NA
13322,"90+3","Ayew A. ","yellow card","",NA
13322,"90+6","Reid W. ","yellow card","",NA
13322,"90+6","Carroll A. ","yellow card","",NA
13436,"78","","yellow card"," N'Doye C.",NA
13436,"80","Olsson Marc. ","yellow card","",NA
13437,"9","","yellow card"," Christie C.",NA
13437,"22","McDonald K. ","yellow card","",NA
13437,"90+4","Fonte R. ","yellow card","",NA
13440,"17","Barkhuizen T. ","yellow card","",NA
13440,"45+1","Huntington P. ","yellow card","",NA
13440,"78","","yellow card"," Wallace J.",NA
13440,"84","Fisher D. ","yellow card","",NA
16514,"58","Ndombele T. ","yellow card","",NA
16516,"31","Ninga C. ","yellow card","",NA
16516,"41","Mendes P. ","yellow card","",NA
17663,"11","De Blasis P. ","yellow card","",NA
17663,"53","Muto Y. ","yellow card","",NA
17663,"90+3","Oztunali L. ","yellow card","",NA
17664,"58","Hubner B. ","yellow card","",NA
17664,"82","Kaderabek P. ","yellow card","",NA
17664,"85","Wagner S. ","yellow card","",NA
17665,"62","Upamecano D. ","yellow card","",NA
17666,"19","Bauer R. ","yellow card","",NA
17666,"19","Kainz F. ","yellow card","",NA
24580,"45+1","Benatia M. ","yellow card","",NA
24581,"39","Salamon B. ","yellow card","",NA
24581,"53","Viviani F. ","yellow card","",NA
24581,"67","Schiattarella P. ","yellow card","",NA
24582,"42","","yellow card"," Lopez M.",NA
30346,"36","Meijers A. ","yellow card","",NA
30346,"39","","yellow card"," Floranus S.",NA
30346,"68","Beugelsdijk T. ","yellow card","",NA
30349,"89","","yellow card"," van Amersfoort P.",NA
30349,"90+1","","yellow card"," Hansen M.",NA
41176,"14","Vigaray C. ","yellow card","",NA
41176,"32","","yellow card"," Carvajal D.",NA
41176,"45","Ely R. ","yellow card","",NA
41176,"61","Medran A. ","yellow card","",NA
41176,"67","Garcia M. ","yellow card","",NA
41176,"87","Torres D. ","yellow card","",NA
41176,"88","","yellow card"," Nacho",NA
41177,"28","Gabi ","yellow card","",NA
41177,"47","Carrasco Y. ","yellow card","",NA
41177,"67","Vrsaljko S. ","yellow card","",NA
41177,"76","Correa A. ","yellow card","",NA
45287,"22","Janssen V. ","yellow card","",NA
45287,"22","","yellow card"," Ozyakup O.",NA
45287,"30","Ekici M. ","yellow card","",NA
45287,"36","","yellow card"," Hutchinson A.",NA
45287,"41","","yellow card"," Quaresma R.",NA
45287,"43","","red card"," Quaresma R.",NA
45287,"45","Neto ","red card","",NA
45287,"77","Potuk A. ","yellow card","",NA
45287,"78","","yellow card"," Tosic D.",NA
45287,"85","","red card"," Hutchinson A.",NA
45287,"88","Koybasi I. ","red card","",NA
45287,"90+3","","yellow card"," Babel R.",NA
45287,"90+5","","yellow card"," Negredo A.",NA
45287,"90+6","","red card"," Ozyakup O.",NA
45288,"14","Oguz A. ","yellow card","",NA
45288,"37","Scekic A. ","yellow card","",NA
45288,"81","","yellow card"," Epureanu A.",NA
45288,"83","Politevich S. ","yellow card","",NA
45288,"85","","yellow card"," Torun T.",NA
13314,"13","Knockaert A. ","yellow card","",NA
13314,"77","Duffy S. ","yellow card","",NA
13314,"90+3","","yellow card"," Lascelles J.",NA
16509,"24","Luiz Gustavo ","yellow card","",NA
16509,"84","Zambo Andre-Frank ","yellow card","",NA
16510,"40","","yellow card"," Girotto A.",NA
16510,"47","Seka E. ","yellow card","",NA
16511,"3","Diousse A. ","yellow card","",NA
16511,"31","Theophile-Catherine K. ","yellow card","",NA
16511,"34","Janko S. ","yellow card","",NA
16511,"59","","yellow card"," Amalfitano M.",NA
16511,"69","","yellow card"," Andre B.",NA
16511,"75","","yellow card"," Traore H.",NA
16511,"90+4","Gabriel S. ","red card","",NA
24573,"40","Chiesa F. ","yellow card","",NA
24573,"51","Biraghi C. ","yellow card","",NA
